id,milestone
5076512,TxtBIUS
5076512,TxtFontSizeColor
5076512,TxtIndentJustify
5076512,TxtMergeTags
5076512,TxtStylesFormats
5076512,TxtViewSource
5076512,UploadImage
5076512,UseBlankTemplate
5086932,CopyProj
5086932,DeleteProj
5086932,InsertTableImage
5086932,ManageTab
5086932,MobileFriendly
5086932,PrevTextVersion
5086932,ProjPreview
5086932,ReEditProj
5086932,SendNow
5086932,TestSend
5086932,TxtFontSizeColor
5086932,TxtIndentJustify
5086932,TxtStylesFormats
5086932,TxtViewSource
5088683,AddImage
5088683,AdvProjCreate
5088683,CaptionedImages
5088683,CopyProj
5088683,ImageProperties
5088683,InsertLinkAnchor
5088683,InsertList
5088683,InsertTableImage
5088683,ManageTab
5088683,MobileFriendly
5088683,MultiImageElemen
5088683,MultiImageProper
5088683,OpenReport
5088683,PrevMobileVersio
5088683,ProjPreview
5088683,ReEditProj
5088683,RenameProj
5088683,ReportsTab
